,cipmet40_S2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|NA|Gemella|Gemella morbillorum,14
Bacteria|NA|Firmicutes|Bacilli|Bacillales|NA|Gemella|Gemella haemolysans,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|NA|Exiguobacterium|Exiguobacterium sp. N4-1P,26
Bacteria|NA|Firmicutes|Bacilli|Bacillales|NA|Exiguobacterium|Exiguobacterium sibiricum,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae|Laceyella|Laceyella sacchari,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae|Novibacillus|Novibacillus thermophilus,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae|Tumebacillus|Tumebacillus avium,2
Bacteria|NA|Firmicutes|Negativicutes,754
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae,284
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella,23923
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella atypica,10986
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella dispar,10265
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella parvula,9993
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella rodentium,6474
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister,21648
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister|Dialister hominis,1662
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister|Dialister massiliensis,847
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister|Dialister pneumosintes,19
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera,148
Bacteria|NA|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera|Megasphaera elsdenii,291
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Megamonas,78
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Megamonas|Megamonas funiformis,292
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Megamonas|Megamonas hypermegale,191
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas,3
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas|Selenomonas ruminantium,55
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas|Selenomonas sp. oral taxon 478,1
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus,12
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus fermentans,151
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus sp. UFO1,27
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Sporomusaceae|Sporomusa|Sporomusa termitida,97
Bacteria|NA|Firmicutes|Negativicutes|Selenomonadales|Sporomusaceae|Methylomusa|Methylomusa anaerophila,1
Bacteria|NA|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Phascolarctobacterium,32
Bacteria|NA|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Phascolarctobacterium|Phascolarctobacterium succinatutens,11
Bacteria|NA|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|Acidaminococcus intestini,11
Bacteria|NA|Firmicutes|Clostridia,24
Bacteria|NA|Firmicutes|Clostridia|Clostridiales,749
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium,1883
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium callanderi,2211
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium limosum,1571
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium maltosivorans,1190
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|[Eubacterium] cellulosolvens,130
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Acetobacterium,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Acetobacterium|Acetobacterium sp. KB-1,20
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Acetobacterium|Acetobacterium woodii,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae,5
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium,248
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium botulinum,276
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. CT4,102
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. BNL1100,43
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. DL-VIII,38
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. SYSU GA15002T,29
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. SY8519,6
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. JN-9,4
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. JN500901,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium sp. AWRP,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium tyrobutyricum,189
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium formicaceticum,128
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium perfringens,125
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium bornimense,79
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium cellulovorans,25
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium carboxidivorans,25
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium kluyveri,25
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium isatidis,23
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium aceticum,21
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium pasteurianum,17
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium drakei,15
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium septicum,13
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium beijerinckii,12
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium saccharoperbutylacetonicum,8
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium tetani,7
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium argentinense,6
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium estertheticum,3
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium novyi,3
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium butyricum,3
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium baratii,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium taeniosporum,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium cochlearium,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Geosporobacter|Geosporobacter ferrireducens,108
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Alkaliphilus|Alkaliphilus metalliredigens,99
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Alkaliphilus|Alkaliphilus oremlandii,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Candidatus Arthromitus,14
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Candidatus Arthromitus|Candidatus Arthromitus sp. SFB-rat-Yit,15
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Caloramator|Caloramator sp. E03,11
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Caloranaerobacter|Caloranaerobacter azorensis,7
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Hathewaya|Hathewaya histolytica,3
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|NA|Clostridiaceae bacterium 14S0207,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Hungatella|Hungatella hathewayi,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|NA|Intestinimonas|Intestinimonas butyriciproducens,1370
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|NA|NA|Clostridiales bacterium CCNA10,5
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae,95
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerocolumna|Anaerocolumna sp. CBA3638,279
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia,4
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Blautia producta,191
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Blautia sp. SC05B48,23
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Blautia sp. N6H1-15,12
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens,160
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium sp. YL32,18
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium phytofermentans,13
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|[Clostridium] saccharolyticum,5
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|[Clostridium] sphenoides,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|[Clostridium] bolteae,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|Roseburia intestinalis,176
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|Roseburia hominis,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|Lachnospiraceae bacterium KM106-2,106
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|Lachnospiraceae bacterium,11
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|Lachnospiraceae bacterium GAM79,3
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|Lachnospiraceae bacterium KGMB03038,3
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|Lachnospiraceae bacterium Choco86,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|Lachnospiraceae bacterium oral taxon 500,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Herbinix|Herbinix luporum,10
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira|Lachnospira eligens,9
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cellulosilyticum,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cellulosilyticum|Cellulosilyticum sp. WCF-2,4
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio hungatei,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes|Anaerostipes hadrus,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes|Anaerostipes rhamnosivorans,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio xylanivorans,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae,5
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Dehalobacterium|Dehalobacterium formicoaceticum,499
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfitobacterium|Desulfitobacterium hafniense,153
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfitobacterium|Desulfitobacterium metallireducens,41
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfitobacterium|Desulfitobacterium dichloroeliminans,39
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfosporosinus,59
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfosporosinus|Desulfosporosinus meridiei,122
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfosporosinus|Desulfosporosinus orientis,15
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfosporosinus|Desulfosporosinus youngiae,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfotomaculum,47
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfotomaculum|Desulfotomaculum ruminis,25
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfotomaculum|Desulfotomaculum reducens,4
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfotomaculum|Desulfotomaculum nigrificans,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfofarcimen|Desulfofarcimen acetoxidans,27
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|NA|Peptococcaceae bacterium DCMF,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Thermincola|Thermincola potens,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfallas|Desulfallas gibsoniae,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridioides|Clostridioides difficile,223
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|NA|[Clostridium] hiranonis,31
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|NA|Peptostreptococcaceae bacterium oral taxon 929,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor|Filifactor alocis,16
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Acetoanaerobium|Acetoanaerobium sticklandii,11
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Hungateiclostridiaceae,4
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Hungateiclostridiaceae|Hungateiclostridium|Hungateiclostridium clariflavum,85
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Hungateiclostridiaceae|Hungateiclostridium|Hungateiclostridium saccincola,42
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Hungateiclostridiaceae|Thermoclostridium|Thermoclostridium stercorarium,41
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Hungateiclostridiaceae|Fastidiosipila|Fastidiosipila sanguinis,5
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Hungateiclostridiaceae|Ruminiclostridium|Ruminiclostridium cellulolyticum,5
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Aminipila|Aminipila butyrica,52
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Aminipila|Aminipila sp. CBA3637,41
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Aminipila|Aminipila sp. JN-18,10
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Aminipila|[Eubacterium] sulci,11
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Mogibacterium,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Mogibacterium|Mogibacterium pumilum,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XVI. Incertae Sedis|Carboxydocella|Carboxydocella thermautotrophica,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella|Christensenella minuta,66
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Petrocella|Petrocella atlantisensis,46
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter|Oscillibacter valericigenes,34
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|Faecalibacterium prausnitzii,19
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Ruminococcus sp. JE7A12,7
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Ruminococcus albus,3
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|NA|[Clostridium] cellulosi,2
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|NA|Ruminococcaceae bacterium CPB6,1
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Heliobacteriaceae|Heliorestis|Heliorestis convoluta,15
Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Syntrophomonadaceae|Candidatus Syntrophocurvum|Candidatus Syntrophocurvum alkaliphilum,8
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Thermoanaerobacter,71
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Thermoanaerobacter|Thermoanaerobacter wiegelii,122
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Thermoanaerobacter|Thermoanaerobacter italicus,2
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Carboxydothermus|Carboxydothermus hydrogenoformans,103
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Tepidanaerobacter|Tepidanaerobacter acetatoxydans,6
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Thermanaeromonas|Thermanaeromonas toyohensis,5
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Thermacetogenium|Thermacetogenium phaeum,1
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermodesulfobiaceae|Thermodesulfobium|Thermodesulfobium acidiphilum,113
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family III. Incertae Sedis|Thermoanaerobacterium,1
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family III. Incertae Sedis|Thermoanaerobacterium|Thermoanaerobacterium xylanolyticum,26
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family III. Incertae Sedis|Thermoanaerobacterium|Thermoanaerobacterium aotearoense,3
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family III. Incertae Sedis|Thermoanaerobacterium|Thermoanaerobacterium thermosaccharolyticum,2
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family III. Incertae Sedis|Thermoanaerobacterium|Thermoanaerobacterium sp. RBIITD,2
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family III. Incertae Sedis|Caldicellulosiruptor,1
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family III. Incertae Sedis|Caldicellulosiruptor|Caldicellulosiruptor changbaiensis,2
Bacteria|NA|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacterales Family IV. Incertae Sedis|Mahella|Mahella australiensis,1
Bacteria|NA|Firmicutes|Clostridia|Halanaerobiales|Halobacteroidaceae|Halobacteroides|Halobacteroides halobius,36
Bacteria|NA|Firmicutes|Clostridia|Halanaerobiales|Halanaerobiaceae|Halocella|Halocella sp. SP3-1,9
Bacteria|NA|Firmicutes|Clostridia|Halanaerobiales|Halanaerobiaceae|Halanaerobium|Halanaerobium praevalens,1
Bacteria|NA|Firmicutes|Clostridia|Halanaerobiales|NA|Anoxybacter|Anoxybacter fermentans,1
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae,29
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Peptoniphilus|Peptoniphilus harei,280
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Peptoniphilus|Peptoniphilus ivorii,45
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Peptoniphilus|Peptoniphilus sp. ING2-D1G,7
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Finegoldia|Finegoldia magna,76
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Parvimonas|Parvimonas micra,27
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Anaerococcus|Anaerococcus prevotii,6
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Anaerococcus|Anaerococcus mediterraneensis,2
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Tissierellaceae,10
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Tissierellaceae|Sporanaerobacter|Sporanaerobacter sp. JN28,79
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Tissierellaceae|Sporanaerobacter|[Clostridium] ultunense,63
Bacteria|NA|Firmicutes|Tissierellia|Tissierellales|Tissierellaceae|Gudongella|Gudongella oleilytica,1
Bacteria|NA|Firmicutes|Tissierellia|NA|NA|Ezakiella|Ezakiella massiliensis,80
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae,6
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelothrix|Erysipelothrix sp. 15TAL0474,85
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelothrix|Erysipelothrix rhusiopathiae,61
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelothrix|Erysipelothrix larvae,21
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter|Turicibacter sp. H121,120
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|NA|Erysipelotrichaceae bacterium GAM147,18
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Absiella,9
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Absiella|Absiella sp. 9CBEGH2,8
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Longibaculum|Longibaculum sp. KGMB06250,7
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea|Faecalitalea cylindroides,6
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum|Faecalibaculum rodentium,1
Bacteria|NA|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Intestinibaculum|Intestinibaculum porci,1
Bacteria|NA|Firmicutes|NA|NA|NA|Ndongobacter|Ndongobacter massiliensis,1
